id_serie,id_episodio,nome_serie,nome_episodio,num_episodio,num_temporada,ano,duracao_minutos,generos,avaliacao_media,num_votos
tt0096697,tt0177842,The Simpsons,Treehouse of Horror VI,6,7,1995,30,"Animation,Comedy",8.5,1701
tt0096697,tt0348034,The Simpsons,Simpsons Roasting on an Open Fire,1,1,1989,30,"Animation,Comedy",8.2,4436
tt0096697,tt0701040,The Simpsons,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",10,5,1993,30,"Animation,Comedy",8.6,1671
tt0096697,tt0701041,The Simpsons,'Round Springfield,22,6,1995,30,"Animation,Comedy",8.3,1430
tt0096697,tt0701042,The Simpsons,'Scuse Me While I Miss the Sky,16,14,2003,30,"Animation,Comedy",7.2,759
tt0096697,tt0701043,The Simpsons,A Fish Called Selma,19,7,1996,30,"Animation,Comedy",8.3,1432
tt0096697,tt0701044,The Simpsons,A Hunka Hunka Burns in Love,4,13,2001,30,"Animation,Comedy",7.1,879
tt0096697,tt0701045,The Simpsons,A Star Is Burns,18,6,1995,30,"Animation,Comedy",8.5,1602
tt0096697,tt0701046,The Simpsons,A Star Is Born Again,13,14,2003,30,"Animation,Comedy",7,817
tt0096697,tt0701047,The Simpsons,A Star Is Torn,18,16,2005,30,"Animation,Comedy",6.7,739
tt0096697,tt0701048,The Simpsons,A Streetcar Named Marge,2,4,1992,30,"Animation,Comedy",8.2,1726
tt0096697,tt0701049,The Simpsons,A Tale of Two Springfields,2,12,2000,30,"Animation,Comedy",7.4,1053
tt0096697,tt0701050,The Simpsons,"All Singing, All Dancing",11,9,1998,30,"Animation,Comedy",5.1,1413
tt0096697,tt0701051,The Simpsons,All's Fair in Oven War,2,16,2004,30,"Animation,Comedy",7,770
tt0096697,tt0701052,The Simpsons,"Alone Again, Natura-Diddly",14,11,2000,30,"Animation,Comedy",7.9,1143
tt0096697,tt0701053,The Simpsons,Another Simpsons Clip Show,3,6,1994,30,"Animation,Comedy",6,1377
